,tree,expresion,y_predict,mse,isValida
0,"
log_
    \
    sin_
        \
        log_
            \
            tan
               \
                1
",log(sin(log(tan(1)))),"[-0.8471, -0.8471, -0.8471, -0.8471, -0.8471, -0.8471, -0.8471, -0.8471, -0.8471, -0.8471, -0.8471, -0.8471, -0.8471, -0.8471, -0.8471, -0.8471, -0.8471, -0.8471, -0.8471, -0.8471]",0.0348,True
1,"
                __________-_
               /            \
        ______-_            tan_
       /        \               \
    __+_        cos_            tan_
   /    \           \               \
  -     sin         tan             cos
 / \       \           \               \
1   X       X           X               1
",((((1-X)+sin(X))-cos(tan(X)))-tan(tan(cos(1)))),"[np.float64(0.4612), np.float64(0.1123), np.float64(-0.1378), np.float64(-0.3171), np.float64(-0.446), np.float64(-0.5379), np.float64(-0.602), np.float64(-0.6448), np.float64(-0.6706), np.float64(-0.6825), np.float64(-0.6825), np.float64(-0.6719), np.float64(-0.6509), np.float64(-0.6186), np.float64(-0.5729), np.float64(-0.5096), np.float64(-0.4214), np.float64(-0.2968), np.float64(-0.1171), np.float64(0.1442)]",0.175,True
2,"
            __________*_______________
           /                          \
   _______-_                     ______*_
  /         \                   /        \
log_        cos__           ___*__       tan_
    \            \         /      \          \
    tan           /       **       +         cos
       \         / \     /  \     / \           \
        1       X   1   1    1   1   1           X
",((log(tan(1))-cos((X/1)))*(((1**1)*(1+1))*tan(cos(X)))),"[-0.1167, -0.264, -0.4438, -0.65, -0.8739, -1.1032, -1.3217, -1.5106, -1.6506, -1.7253, -1.7253, -1.6506, -1.5106, -1.3217, -1.1032, -0.8739, -0.65, -0.4438, -0.264, -0.1167]",0.192,True
3,"
                 ___________*_______________
                /                           \
        _______-_                     _______*_
       /         \                   /         \
   ___-__        sin__            __**__       sin__
  /      \            \          /      \           \
tan       **           **       /        -           *
   \     /  \         /  \     / \      / \         / \
    X   X    1       1    1   X   1    X   X       X   X
",(((tan(X)-(X**1))-sin((1**1)))*(((X/1)**(X-X))*sin((X*X)))),"[np.float64(-1.1771), np.float64(-0.8565), np.float64(-0.6188), np.float64(-0.439), np.float64(-0.3014), np.float64(-0.1959), np.float64(-0.1163), np.float64(-0.0587), np.float64(-0.021), np.float64(-0.0023), np.float64(-0.0023), np.float64(-0.0209), np.float64(-0.0578), np.float64(-0.1115), np.float64(-0.1786), np.float64(-0.2522), np.float64(-0.3204), np.float64(-0.3635), np.float64(-0.3514), np.float64(-0.239)]",0.4239,True
4,"
                __________*__________
               /                     \
        ______*_               _______-_
       /        \             /         \
    __-_        log__       sin__       log__
   /    \            \           \           \
  -     sin           +           /           +
 / \       \         / \         / \         / \
1   X       1       1   1       X   1       1   1
",((((1-X)-sin(1))*log((1+1)))*(sin((X/1))-log((1+1)))),"[np.float64(-1.2323), np.float64(-1.0755), np.float64(-0.922), np.float64(-0.7741), np.float64(-0.634), np.float64(-0.5036), np.float64(-0.3847), np.float64(-0.2786), np.float64(-0.1865), np.float64(-0.1092), np.float64(-0.047), np.float64(-0.0002), np.float64(0.0314), np.float64(0.0484), np.float64(0.0518), np.float64(0.0425), np.float64(0.0223), np.float64(-0.0074), np.float64(-0.0443), np.float64(-0.0865)]",0.463,True
5,"
            _______________*_
           /                 \
   _______-______            tan_
  /              \               \
sin_           ___**__           sin__
    \         /       \               \
    sin     cos        *               /
       \       \      / \             / \
        1       1    X   X           X   X
",((sin(sin(1))-(cos(1)**(X*X)))*tan(sin((X/X)))),"[np.float64(0.2297), np.float64(0.1508), np.float64(0.0719), np.float64(-0.0045), np.float64(-0.076), np.float64(-0.1403), np.float64(-0.1949), np.float64(-0.2379), np.float64(-0.2676), np.float64(-0.2827), np.float64(-0.2827), np.float64(-0.2676), np.float64(-0.2379), np.float64(-0.1949), np.float64(-0.1403), np.float64(-0.076), np.float64(-0.0045), np.float64(0.0719), np.float64(0.1508), np.float64(0.2297)]",0.4762,True
6,"
   ___________-_
  /             \
tan_            sin_
    \               \
    tan_            tan__
        \                \
        tan               *
           \             / \
            1           X   X
",(tan(tan(tan(1)))-sin(tan((X*X)))),"[-1.8634, -1.7212, -1.522, -1.3479, -1.2048, -1.0898, -0.9997, -0.9328, -0.8885, -0.8663, -0.8663, -0.8885, -0.9328, -0.9997, -1.0898, -1.2048, -1.3479, -1.522, -1.7212, -1.8634]",0.4818,True
7,"
log_
    \
    cos______
             \
            __*_
           /    \
          +     tan
         / \       \
        1   X       1
",log(cos(((1+X)*tan(1)))),"[0.0, -0.0135, -0.0547, -0.1262, -0.2324, -0.3821, -0.5906, -0.8899, -1.361, -2.3516, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.4875,True
8,"
log_
    \
    log_______
              \
            ___-__
           /      \
          **       *
         /  \     / \
        1    X   X   1
",log(log(((1**X)-(X*1)))),"[-0.3665, -0.4477, -0.5414, -0.6514, -0.7836, -0.9474, -1.1595, -1.4541, -1.92, -2.9702, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5663,True
9,"
   ________________*_
  /                  \
log______            tan______
         \                    \
       ___**_                __-_
      /      \              /    \
    cos      tan           -     log
       \        \         / \       \
        X        X       1   1       X
",(log((cos(X)**tan(X)))*tan(((1-1)-log(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0071, -0.0393, -0.0416, -0.0554, -0.0707, -0.083, -0.0852, -0.0653, -0.0]",0.5832,True
