,tree,expresion,y_predict,mse,isValida
0,"
sin_
    \
    sin_
        \
        cos__
             \
              **
             /  \
            1    X
",sin(sin(cos((1**X)))),"[0.492, 0.492, 0.492, 0.492, 0.492, 0.492, 0.492, 0.492, 0.492, 0.492, 0.492, 0.492, 0.492, 0.492, 0.492, 0.492, 0.492, 0.492, 0.492, 0.492]",,False
1,"
   ___________*_
  /             \
cos_            cos_
    \               \
    sin__           sin__
         \               \
          +               /
         / \             / \
        X   X           1   1
",(cos(sin((X+X)))*cos(sin((1/1)))),"[0.1625908790482486, 0.04362194315928634, 0.0, 0.03734302709847995, 0.15102445472571058, 0.3251817580964972, 0.5333773959021811, 0.7399206873760741, 0.9068076668869794, 1.0, 1.0, 0.9068076668869794, 0.7399206873760741, 0.5333773959021811, 0.3251817580964972, 0.15102445472571058, 0.03734302709847995, 0.0, 0.04362194315928634, 0.1625908790482486]",,False
2,"
sin_
    \
    sin______
             \
           ___**__
          /       \
        sin        /
           \      / \
            1    1   1
",sin(sin((sin(1)**(1/1)))),"[0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784, 0.6784]",,False
3,"
cos_
    \
    cos_
        \
        sin__
             \
              -
             / \
            X   X
",cos(cos(sin((X-X)))),"[0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403, 0.5403]",,False
4,"
sin_
    \
    cos______
             \
           ___+_
          /     \
        sin     cos
           \       \
            1       1
",sin(cos((sin(1)+cos(1)))),"[0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868]",,False
5,"
   ___________**__________
  /                       \
cos_                _______*______
    \              /              \
    sin__        sin__          ___**_
         \            \        /      \
          +            *     sin      cos
         / \          / \       \        \
        1   1        X   X       X        X
",(cos(sin((1+1)))**(sin((X*X))*(sin(X)**cos(X)))),"[None, None, None, None, None, None, None, None, None, None, 0.9999, 0.998, 0.9909, 0.9749, 0.9475, 0.9078, 0.8572, 0.7997, 0.7413, 0.6883]",,False
6,"
sin_
    \
    cos_
        \
        sin__
             \
              **
             /  \
            1    1
",sin(cos(sin((1**1)))),"[0.6181, 0.6181, 0.6181, 0.6181, 0.6181, 0.6181, 0.6181, 0.6181, 0.6181, 0.6181, 0.6181, 0.6181, 0.6181, 0.6181, 0.6181, 0.6181, 0.6181, 0.6181, 0.6181, 0.6181]",,False
7,"
sin_
    \
    cos______
             \
           ___+_
          /     \
        sin     cos
           \       \
            1       1
",sin(cos((sin(1)+cos(1)))),"[0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868, 0.1868]",,False
8,"
   _______________+______________
  /                              \
sin______                   ______-_
         \                 /        \
       ___+__          ___-_        cos_
      /      \        /     \           \
    sin       -     sin     sin         cos
       \     / \       \       \           \
        X   X   X       X       X           X
",(sin((sin(X)+(X-X)))+((sin(X)-sin(X))-cos(cos(X)))),"[0.0, 0.059692513368983915, 0.12653743315508023, 0.19913101604278077, 0.2762700534759358, 0.35641711229946516, 0.4380347593582888, 0.5193850267379678, 0.5988636363636363, 0.6745320855614974, 0.7448529411764706, 0.8082219251336897, 0.8633021390374332, 0.9091577540106951, 0.9453208556149731, 0.9717914438502674, 0.9889705882352942, 0.9979278074866309, 1.0, 0.9968582887700533]",,False
9,"
             ___________**_
            /              \
   ________**_             cos_
  /           \                \
cos__         sin_             cos_
     \            \                \
      **          cos              cos
     /  \            \                \
    1    1            X                1
",((cos((1**1))**sin(cos(X)))**cos(cos(cos(1)))),"[1.0, 0.7694610778443112, 0.5758483033932136, 0.41616766467065847, 0.2874251497005994, 0.18562874251496964, 0.10778443113772491, 0.05289421157684605, 0.01796407185628767, 0.0, 0.0, 0.01796407185628767, 0.05289421157684605, 0.10778443113772491, 0.18562874251496964, 0.2874251497005994, 0.41616766467065847, 0.5758483033932136, 0.7694610778443112, 1.0]",,False
10,"
   _______________+_
  /                 \
sin______           cos______
         \                   \
        __/_                __+_
       /    \              /    \
      +     cos           +     cos
     / \       \         / \       \
    X   X       X       X   1       1
",(sin(((X+X)/cos(X)))+cos(((X+1)+cos(1)))),"[1.0, 0.6837061866938716, 0.47507833564089474, 0.3753552430226626, 0.34456751439189676, 0.3513444582088464, 0.37673977993150176, 0.4105516286526269, 0.44767907891860376, 0.4858995846389273, 0.524265831086497, 0.5622312905341397, 0.5988850834365663, 0.6319682285214603, 0.6564162355170151, 0.6619908183341834, 0.62985498797639, 0.5285287473584492, 0.3181520075785178, 0.0]",,False
