,tree,expresion,y_predict,mse,isValida
0,"
cos______________
                 \
            ______**_______
           /               \
       ___+__            ___**__
      /      \          /       \
    tan       /        **        -
       \     / \      /  \      / \
        1   X   X    1    X    X   1
",cos(((tan(1)+(X/X))**((1**X)**(X-1)))),"[-0.8342, -0.8342, -0.8342, -0.8342, -0.8342, -0.8342, -0.8342, -0.8342, -0.8342, -0.8342, -0.8342, -0.8342, -0.8342, -0.8342, -0.8342, -0.8342, -0.8342, -0.8342, -0.8342, -0.8342]",0.0329,True
1,"
log_
    \
    cos_
        \
        cos__
             \
              -
             / \
            X   X
",log(cos(cos((X-X)))),"[-0.6156, -0.6156, -0.6156, -0.6156, -0.6156, -0.6156, -0.6156, -0.6156, -0.6156, -0.6156, -0.6156, -0.6156, -0.6156, -0.6156, -0.6156, -0.6156, -0.6156, -0.6156, -0.6156, -0.6156]",0.05,True
2,"
   _______________/______________
  /                              \
sin______                   ______*______
         \                 /             \
        __*_           ___-__           __*__
       /    \         /      \         /     \
      /     sin     cos       +       /       +
     / \       \       \     / \     / \     / \
    X   X       X       X   1   X   X   X   1   1
",(sin(((X/X)*sin(X)))/((cos(X)-(1+X))*((X/X)*(1+1)))),"[np.float64(-0.69), np.float64(-0.6757), np.float64(-0.6601), np.float64(-0.6434), np.float64(-0.6253), np.float64(-0.6058), np.float64(-0.5848), np.float64(-0.5622), np.float64(-0.5383), np.float64(-0.513), np.float64(-0.4867), np.float64(-0.4597), np.float64(-0.4322), np.float64(-0.4046), np.float64(-0.3773), np.float64(-0.3506), np.float64(-0.3249), np.float64(-0.3003), np.float64(-0.2771), np.float64(-0.2554)]",0.1201,True
3,"
sin_
    \
    log______
             \
            __-__
           /     \
          *       -
         / \     / \
        1   X   X   X
",sin(log(((1*X)-(X-X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.1959, -0.9624, -0.9723, -0.8407, -0.6796, -0.5197, -0.3704, -0.2342, -0.111, 0.0]",0.3758,True
4,"
sin_
    \
    log_
        \
        cos_
            \
            cos
               \
                1
",sin(log(cos(cos(1)))),"[-0.1531, -0.1531, -0.1531, -0.1531, -0.1531, -0.1531, -0.1531, -0.1531, -0.1531, -0.1531, -0.1531, -0.1531, -0.1531, -0.1531, -0.1531, -0.1531, -0.1531, -0.1531, -0.1531, -0.1531]",0.4014,True
5,"
log_
    \
    log_
        \
        tan_
            \
            cos
               \
                X
",log(log(tan(cos(X)))),"[0, 0, 0, 0, -2.2685, -1.5581, -1.2061, -0.9986, -0.8775, -0.821, -0.821, -0.8775, -0.9986, -1.2061, -1.5581, -2.2685, 0, 0, 0, 0]",0.4481,True
6,"
log_
    \
    cos_
        \
        log_
            \
            tan
               \
                X
",log(cos(log(tan(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.3612, -0.5443, -0.2422, -0.0932, -0.0209, -0.0, -0.0245, -0.1015]",0.5143,True
7,"
            ______________/_
           /                \
   _______-______           cos_
  /              \              \
cos_           ___+__           log_
    \         /      \              \
    cos     cos       *             tan
       \       \     / \               \
        1       X   1   X               X
",((cos(cos(1))-(cos(X)+(1*X)))/cos(log(tan(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, np.float64(0.1976), np.float64(1.0925), np.float64(-1.4478), np.float64(-0.7648), np.float64(-0.6447), np.float64(-0.613), np.float64(-0.6143), np.float64(-0.6362), np.float64(-0.6793), np.float64(-0.7557)]",0.6101,True
8,"
   _________________*_______________
  /                                 \
log______                     _______-_
         \                   /         \
       ___**__            __**_        log_
      /       \          /     \           \
    tan        **       -      tan         cos
       \      /  \     / \        \           \
        X    1    X   1   1        1           X
",(log((tan(X)**(1**X)))*(((1-1)**tan(1))-log(cos(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.0041, -0.023, -0.0459, -0.0661, -0.078, -0.0756, -0.052, 0.0029, 0.1034, 0.2727]",0.6102,True
9,"
   _______________*_
  /                 \
sin______           log_
         \              \
       ___*_            log__
      /     \                \
    log     log               +
       \       \             / \
        X       1           1   1
",(sin((log(X)*log(1)))*log(log((1+1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0]",0.6119,True
10,"
sin_
    \
    log______
             \
            __-__
           /     \
          /       **
         / \     /  \
        X   X   1    X
",sin(log(((X/X)-(1**X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.6119,True
11,"
log_
    \
    log_
        \
        log_
            \
            log
               \
                1
",log(log(log(log(1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.6119,True
12,"
sin___________
              \
       ________*_
      /          \
    cos__        tan_
         \           \
          **         log
         /  \           \
        1    X           1
",sin((cos((1**X))*tan(log(1)))),"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6119,True
13,"
sin______________
                 \
            ______-_
           /        \
        __+_        log_
       /    \           \
      *     log         log
     / \       \           \
    1   X       X           X
",sin((((1*X)+log(X))-log(log(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.6119,True
14,"
   ___________**_
  /              \
sin_             log______
    \                     \
    log__               ___/__
         \             /      \
          *          tan       +
         / \            \     / \
        X   1            X   1   1
",(sin(log((X*1)))**log((tan(X)/(1+1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.6119,True
15,"
log_______________
                  \
            _______*_
           /         \
       ___*__        sin__
      /      \            \
    log       **           *
       \     /  \         / \
        1   1    X       X   1
",log(((log(1)*(1**X))*sin((X*1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.6119,True
16,"
log_
    \
    log_
        \
        log__
             \
              +
             / \
            X   1
",log(log(log((X+1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.6119,True
17,"
log__________
             \
       _______+______
      /              \
    log_            __*__
        \          /     \
        cos       -       -
           \     / \     / \
            X   1   X   1   1
",log((log(cos(X))+((1-X)*(1-1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.6119,True
18,"
cos_
    \
    sin______
             \
           ___/__
          /      \
        log       -
           \     / \
            X   1   1
",cos(sin((log(X)/(1-1)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.6119,True
19,"
cos_
    \
    log_
        \
        log_
            \
            sin
               \
                X
",cos(log(log(sin(X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.6119,True
20,"
   _________________**_
  /                    \
log_______             cos_
          \                \
        ___-__             sin__
       /      \                 \
      **       **                -
     /  \     /  \              / \
    X    1   X    1            1   X
",(log(((X**1)-(X**1)))**cos(sin((1-X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.6119,True
21,"
                ___________/__________
               /                      \
        ______-_                _______-_
       /        \              /         \
    __/_        log__        log__       cos__
   /    \            \            \           \
  /     log           **           +           **
 / \       \         /  \         / \         /  \
1   1       1       X    X       X   X       1    X
",((((1/1)/log(1))-log((X**X)))/(log((X+X))-cos((1**X)))),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.6119,True
