,tree,expresion,y_predict,mse,isValida
0,"
sin_
    \
    sin_
        \
        sin__
             \
              +_
             /  \
            X   113
",sin(sin(sin((X+113)))),"[0.6494, 0.6661, 0.6809, 0.6938, 0.7049, 0.7145, 0.7226, 0.7294, 0.7349, 0.7392, 0.7423, 0.7444, 0.7455, 0.7455, 0.7445, 0.7424, 0.7393, 0.7351, 0.7296, 0.7229, 0.7149, 0.7053, 0.6942, 0.6814, 0.6668, 0.6501, 0.6313, 0.6102, 0.5867, 0.5607, 0.532, 0.5006, 0.4664, 0.4294, 0.3897, 0.3474, 0.3026, 0.2555, 0.2065, 0.1557, 0.1037, 0.0509, -0.0024, -0.0557, -0.1085, -0.1604, -0.211, -0.2599, -0.3067, -0.3513, -0.3934, -0.4329, -0.4696, -0.5036, -0.5347, -0.5632, -0.589, -0.6123, -0.6331, -0.6517, -0.6682, -0.6827, -0.6953, -0.7063, -0.7157, -0.7236, -0.7302, -0.7355, -0.7396, -0.7427, -0.7446, -0.7455, -0.7454, -0.7443, -0.7421, -0.7388, -0.7344, -0.7288, -0.722, -0.7137, -0.704, -0.6927, -0.6796, -0.6647, -0.6478, -0.6287, -0.6073, -0.5835, -0.5571, -0.5281, -0.4963, -0.4617, -0.4244, -0.3843, -0.3417, -0.2965, -0.2492, -0.1999, -0.149, -0.0969]",0.0337,True
1,"
   ____________*_
  /              \
sin_             cos_
    \                \
    cos___           sin____
          \                 \
          _-                _-_
         /  \              /   \
        83   X           162   112
",(sin(cos((83-X)))*cos(sin((162-112)))),"[0.7854, 0.7939, 0.8008, 0.8061, 0.8098, 0.812, 0.8127, 0.8119, 0.8096, 0.8058, 0.8004, 0.7935, 0.7848, 0.7744, 0.7622, 0.7481, 0.732, 0.7138, 0.6934, 0.6708, 0.6459, 0.6186, 0.589, 0.557, 0.5226, 0.4859, 0.4469, 0.4058, 0.3627, 0.3177, 0.271, 0.2229, 0.1736, 0.1233, 0.0723, 0.0209, -0.0307, -0.082, -0.1329, -0.1831, -0.2322, -0.28, -0.3264, -0.371, -0.4138, -0.4545, -0.493, -0.5293, -0.5633, -0.5948, -0.624, -0.6508, -0.6753, -0.6975, -0.7174, -0.7352, -0.751, -0.7647, -0.7766, -0.7866, -0.7949, -0.8016, -0.8066, -0.8102, -0.8121, -0.8127, -0.8117, -0.8092, -0.8052, -0.7996, -0.7924, -0.7836, -0.773, -0.7605, -0.7461, -0.7297, -0.7113, -0.6906, -0.6677, -0.6425, -0.6149, -0.5849, -0.5526, -0.5179, -0.4809, -0.4416, -0.4003, -0.3569, -0.3117, -0.2648, -0.2165, -0.167, -0.1166, -0.0656, -0.0141, 0.0374, 0.0887, 0.1395, 0.1895, 0.2385]",0.0448,True
2,"
sin____________
               \
       _________-________
      /                  \
    cos___              __*_
          \            /    \
          _/         _+     cos_
         /  \       /  \        \
        33   28   117   X       191
",sin((cos((33/28))-((117+X)*cos(191)))),"[0.8317, 0.8547, 0.8762, 0.896, 0.9143, 0.9308, 0.9456, 0.9587, 0.97, 0.9795, 0.9873, 0.9932, 0.9973, 0.9995, 0.9999, 0.9985, 0.9952, 0.9901, 0.9832, 0.9745, 0.964, 0.9517, 0.9377, 0.9219, 0.9044, 0.8853, 0.8645, 0.8422, 0.8183, 0.7929, 0.766, 0.7378, 0.7081, 0.6772, 0.645, 0.6117, 0.5772, 0.5416, 0.5051, 0.4676, 0.4293, 0.3902, 0.3503, 0.3098, 0.2688, 0.2272, 0.1853, 0.143, 0.1004, 0.0576, 0.0148, -0.0281, -0.071, -0.1137, -0.1562, -0.1984, -0.2402, -0.2816, -0.3225, -0.3628, -0.4024, -0.4413, -0.4794, -0.5166, -0.5528, -0.5881, -0.6222, -0.6552, -0.687, -0.7175, -0.7467, -0.7746, -0.801, -0.8259, -0.8493, -0.8712, -0.8914, -0.91, -0.927, -0.9422, -0.9557, -0.9675, -0.9774, -0.9856, -0.9919, -0.9965, -0.9991, -1.0, -0.999, -0.9962, -0.9915, -0.9851, -0.9768, -0.9667, -0.9548, -0.9412, -0.9258, -0.9088, -0.89, -0.8697]",0.1517,True
3,"
sin_
    \
    cos_________
                \
              ___-_
             /     \
           _*      sin
          /  \        \
        141   28       X
",sin(cos(((141*28)-sin(X)))),"[0.2474, 0.2731, 0.2962, 0.3166, 0.3344, 0.3497, 0.3624, 0.3726, 0.3804, 0.3857, 0.3885, 0.389, 0.3871, 0.3827, 0.376, 0.3667, 0.355, 0.3407, 0.3239, 0.3045, 0.2825, 0.2578, 0.2304, 0.2005, 0.1679, 0.1329, 0.0955, 0.0559, 0.0142, -0.0291, -0.074, -0.12, -0.1668, -0.214, -0.2612, -0.308, -0.3539, -0.3987, -0.4419, -0.4832, -0.5223, -0.5591, -0.5934, -0.6251, -0.6542, -0.6805, -0.7043, -0.7255, -0.7444, -0.7609, -0.7754, -0.7879, -0.7986, -0.8076, -0.8152, -0.8215, -0.8266, -0.8307, -0.8339, -0.8364, -0.8382, -0.8395, -0.8404, -0.841, -0.8413, -0.8414, -0.8415, -0.8415, -0.8414, -0.8414, -0.8414, -0.8414, -0.8414, -0.8415, -0.8414, -0.8413, -0.841, -0.8405, -0.8397, -0.8384, -0.8367, -0.8343, -0.8312, -0.8272, -0.8222, -0.8161, -0.8087, -0.7998, -0.7894, -0.7771, -0.7629, -0.7467, -0.7281, -0.7072, -0.6838, -0.6577, -0.6291, -0.5977, -0.5638, -0.5273]",0.181,True
4,"
sin__________
             \
       _______-_
      /         \
    sin_        sin_
        \           \
        sin         cos
           \           \
            X           57
",sin((sin(sin(X))-sin(cos(57)))),"[-0.0376, -0.0195, -0.0035, 0.0104, 0.0224, 0.0326, 0.0409, 0.0476, 0.0526, 0.056, 0.0578, 0.0581, 0.0569, 0.0541, 0.0497, 0.0437, 0.0361, 0.0266, 0.0154, 0.0022, -0.013, -0.0303, -0.0497, -0.0714, -0.0954, -0.1217, -0.1503, -0.1812, -0.2144, -0.2497, -0.2869, -0.3259, -0.3664, -0.408, -0.4506, -0.4935, -0.5365, -0.5792, -0.621, -0.6616, -0.7006, -0.7377, -0.7724, -0.8047, -0.8343, -0.8611, -0.885, -0.9061, -0.9245, -0.9403, -0.9536, -0.9647, -0.9738, -0.981, -0.9867, -0.9911, -0.9943, -0.9967, -0.9982, -0.9992, -0.9998, -1.0, -1.0, -0.9998, -0.9996, -0.9993, -0.999, -0.9988, -0.9986, -0.9986, -0.9986, -0.9986, -0.9988, -0.999, -0.9993, -0.9995, -0.9998, -1.0, -1.0, -0.9998, -0.9993, -0.9984, -0.9969, -0.9947, -0.9916, -0.9874, -0.9818, -0.9748, -0.966, -0.9552, -0.9422, -0.9267, -0.9087, -0.8879, -0.8644, -0.8379, -0.8087, -0.7768, -0.7423, -0.7056]",0.3851,True
5,"
sin_
    \
    cos_______
              \
             __+____
            /       \
          _-        _+
         /  \      /  \
        95   X   114   X
",sin(cos(((95-X)+(114+X)))),"[-0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839, -0.0839]",0.529,True
6,"
   ________________+__________
  /                           \
cos______               _______+_______
         \             /               \
        __*__        sin_           ____*_
       /     \           \         /      \
      +       -          sin     sin      cos
     / \     / \            \       \        \
    X   X   X   19           X       97       17
",(cos(((X+X)*(X-19)))+(sin(sin(X))+(sin(97)*cos(17)))),"[0.5132, 1.6533, 0.3454, -0.1626, 1.3866, 1.2951, -0.184, 0.457, 1.7248, 0.7026, -0.2493, 1.0245, 1.6551, 0.2487, -0.0994, 1.3465, 1.4527, -0.0095, 0.0273, 1.4477, 1.2912, -0.1381, 0.0106, 1.3853, 1.2302, -0.1823, -0.1795, 1.161, 1.2545, -0.1183, -0.4975, 0.7176, 1.2689, 0.1209, -0.7886, 0.0139, 1.0648, 0.5249, -0.7777, -0.8025, 0.3852, 0.8086, -0.2607, -1.2396, -0.7299, 0.407, 0.4191, -0.7615, -1.5009, -0.8355, 0.2303, 0.1862, -0.9395, -1.6942, -1.1543, -0.0738, 0.1484, -0.7757, -1.7348, -1.616, -0.6056, 0.0982, -0.307, -1.3626, -1.9214, -1.4116, -0.4003, 0.0578, -0.4878, -1.4771, -1.9457, -1.4647, -0.504, 0.0549, -0.2687, -1.1628, -1.8439, -1.7438, -0.9581, -0.1212, 0.1273, -0.3688, -1.2033, -1.7456, -1.6052, -0.8835, -0.0652, 0.3316, 0.0908, -0.5922, -1.2645, -1.5068, -1.172, -0.4437, 0.294, 0.6789, 0.5546, 0.0292, -0.603, -1.0188]",0.534,True
7,"
sin______________
                 \
            ______/________
           /               \
       ___/__           ____-_
      /      \         /      \
    cos       /       *_      cos
       \     / \     /  \        \
        X   X   X   X   140       X
",sin(((cos(X)/(X/X))/((X*140)-cos(X)))),"[0.0039, 0.0034, 0.0029, 0.0025, 0.0021, 0.0017, 0.0013, 0.001, 0.0007, 0.0004, 0.0002, -0.0001, -0.0003, -0.0005, -0.0007, -0.0009, -0.0011, -0.0012, -0.0014, -0.0015, -0.0016, -0.0018, -0.0019, -0.002, -0.002, -0.0021, -0.0022, -0.0022, -0.0023, -0.0023, -0.0023, -0.0024, -0.0024, -0.0024, -0.0024, -0.0024, -0.0024, -0.0024, -0.0023, -0.0023, -0.0023, -0.0022, -0.0022, -0.0021, -0.0021, -0.002, -0.002, -0.0019, -0.0018, -0.0018, -0.0017, -0.0016, -0.0015, -0.0014, -0.0014, -0.0013, -0.0012, -0.0011, -0.001, -0.0009, -0.0008, -0.0007, -0.0007, -0.0006, -0.0005, -0.0004, -0.0003, -0.0002, -0.0001, -0.0, 0.0, 0.0001, 0.0002, 0.0003, 0.0003, 0.0004, 0.0005, 0.0005, 0.0006, 0.0007, 0.0007, 0.0008, 0.0008, 0.0009, 0.0009, 0.0009, 0.001, 0.001, 0.001, 0.0011, 0.0011, 0.0011, 0.0011, 0.0011, 0.0011, 0.0012, 0.0012, 0.0012, 0.0011, 0.0011]",0.5375,True
8,"
sin________________
                   \
            ________*_
           /          \
        __/__         sin___
       /     \              \
      -       /_            _-
     / \     /  \          /  \
    X   X   X   120       98   42
",sin((((X-X)/(X/120))*sin((98-42)))),"[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0]",0.5375,True
9,"
   _______________*________________
  /                                \
sin______                   ________/______
         \                 /               \
       ___*_           ___-_              __-__
      /     \         /     \            /     \
    sin     sin     cos     cos_        +       *
       \       \       \        \      / \     / \
        X       X       X       111   X   X   X   55
",(sin((sin(X)*sin(X)))*((cos(X)-cos(111))/((X+X)-(X*55)))),"[np.float64(-0.0128), np.float64(-0.0122), np.float64(-0.0116), np.float64(-0.0109), np.float64(-0.0102), np.float64(-0.0094), np.float64(-0.0087), np.float64(-0.0079), np.float64(-0.0071), np.float64(-0.0063), np.float64(-0.0056), np.float64(-0.0049), np.float64(-0.0042), np.float64(-0.0035), np.float64(-0.0029), np.float64(-0.0023), np.float64(-0.0018), np.float64(-0.0013), np.float64(-0.0009), np.float64(-0.0005), np.float64(-0.0002), np.float64(0.0001), np.float64(0.0004), np.float64(0.0005), np.float64(0.0007), np.float64(0.0008), np.float64(0.0008), np.float64(0.0008), np.float64(0.0008), np.float64(0.0007), np.float64(0.0007), np.float64(0.0006), np.float64(0.0005), np.float64(0.0004), np.float64(0.0003), np.float64(0.0002), np.float64(0.0001), np.float64(0.0001), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0001), np.float64(0.0001), np.float64(0.0002), np.float64(0.0002), np.float64(0.0003), np.float64(0.0004), np.float64(0.0004), np.float64(0.0005), np.float64(0.0005), np.float64(0.0005), np.float64(0.0005), np.float64(0.0005), np.float64(0.0005), np.float64(0.0004), np.float64(0.0003), np.float64(0.0002), np.float64(0.0001), np.float64(-0.0), np.float64(-0.0002), np.float64(-0.0004), np.float64(-0.0005), np.float64(-0.0007), np.float64(-0.0009), np.float64(-0.0011), np.float64(-0.0013), np.float64(-0.0014), np.float64(-0.0016), np.float64(-0.0018), np.float64(-0.0019), np.float64(-0.002), np.float64(-0.0022), np.float64(-0.0023), np.float64(-0.0024), np.float64(-0.0024), np.float64(-0.0025), np.float64(-0.0025), np.float64(-0.0025), np.float64(-0.0024), np.float64(-0.0024), np.float64(-0.0023), np.float64(-0.0022), np.float64(-0.002), np.float64(-0.0019), np.float64(-0.0017), np.float64(-0.0015), np.float64(-0.0013), np.float64(-0.0011), np.float64(-0.001), np.float64(-0.0008), np.float64(-0.0006), np.float64(-0.0005), np.float64(-0.0003), np.float64(-0.0002), np.float64(-0.0001), np.float64(-0.0001), np.float64(-0.0), np.float64(-0.0)]",0.539,True
